"Property Type","Property URL","Price (INR)","Price Per Sqft (INR)","Area (sqft)","Location","Posted By"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-janakpuri-west-delhi-5500-sq-ft-spid-T83487190","104500000","19000","5500","Janakpuri, West Delhi","Dealer"
"Commercial property","https://www.99acres.com/other-commercial-property-for-sale-in-block-c-lajpat-nagar-1-south-delhi-800-sq-ft-spid-R83829264","16500000","22000","750","Block C Lajpat Nagar 1, Delhi, South Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-mayapuri-industrial-area-phase-2-west-delhi-900-sq-ft-r1-spid-G81808288","7500000","8333","900","Mayapuri Industrial Area Phase 2, Delhi, West Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-janakpuri-west-delhi-7200-sq-ft-spid-G82374704","105000000","19090","5500","Janakpuri, West Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-greater-kailash-2-south-delhi-1000-sq-ft-spid-J83453226","32000","128","250","Greater Kailash 2, Delhi, South Delhi","Dealer"
"Shop","https://www.99acres.com/shop-for-sale-in-rohit-kunj-north-delhi-1593-sq-ft-spid-C84160376","82500000","51789","1593","Rohit Kunj, Delhi, North Delhi","Dealer"
"Shop","https://www.99acres.com/shop-for-sale-in-sector-8b-rohini-north-delhi-2890-sq-ft-spid-Z84160082","65000000","22491","2890","Sector 8B Rohini, Delhi, North Delhi","Dealer"
"Shop","https://www.99acres.com/shop-for-sale-in-janakpuri-district-center-west-delhi-2925-sq-ft-spid-K84158090","80000000","27350","2925","Janakpuri District Center, Delhi, West Delhi","Dealer"
"Shop","https://www.99acres.com/shop-for-sale-in-sector-16a-rohini-north-delhi-1900-sq-ft-spid-W84065024","80000000","42105","1900","Sector 16A Rohini, Delhi, North Delhi","Dealer"
"Factory","https://www.99acres.com/factory-for-sale-in-okhla-phase-1-south-delhi-2160-sq-ft-r5-spid-Z67514472","62500000","28935","2160","Okhla Phase 1, Delhi, South Delhi","Dealer"
"Shop","https://www.99acres.com/shop-for-sale-in-connaught-place-central-delhi-3051-sq-ft-spid-Q82466702","790000000","7518","105084","Connaught Place, Delhi, Central Delhi","Dealer"
"Shop","https://www.99acres.com/shop-for-sale-in-block-a-defence-colony-south-delhi-591-sq-ft-spid-K83313754","65000000","109794","592","Block A Defence Colony, Delhi, South Delhi","Dealer"
"Office Space","https://www.99acres.com/bare-shell-office-space-for-sale-in-sultanpur-south-delhi-1800-sq-ft-r1-spid-E77796025","100000000","55556","1800","Sultanpur, Delhi, South Delhi","Dealer"
"Shop","https://www.99acres.com/shop-for-sale-in-pocket-2-sector-6-dwarka-1200-sq-ft-spid-L83724978","44000000","36666","1200","Pocket 2 Sector 6 Dwarka, Delhi, Delhi South West","Dealer"
"Industrial land / Plot","https://www.99acres.com/industrial-land-plot-for-sale-in-pocket-c-okhla-phase-1-south-delhi-600-sq-yard-spid-Z83468088","150000000","27778","5400","Pocket C Okhla Phase 1, Delhi, South Delhi","Dealer"
