"Property Title","Property URL","Price (INR)","Price Per Sqft (INR)","Area (sqft)","Property Type","Location","Property Status","Highlights"
"Commercial property in Derawal Nagar, Delhi","","60000000","223880","250","Commercial property","Derawal Nagar, Delhi","","https://imagecdn.99acres.com/media1/29300/12/586012507M-1744442002860.jpg"
"Commercial property in Vasant Vihar, Delhi","","25500000","12142.86","2100","Commercial property","Vasant Vihar, Delhi","","https://imagecdn.99acres.com/media1/31305/11/626111183M-1753945436828.jpg"
"Commercial property in Sarvpriya Vihar, Delhi","","20000000","11111.11","1800","Commercial property","Sarvpriya Vihar, Delhi","","https://imagecdn.99acres.com/media1/30768/6/615366469M-1751688052337.jpg"
"Ready to move Office Space for sale in Kirti Nagar, Delhi","","41000000","22777.78","1800","Office Space","Kirti Nagar, Delhi","Ready to move","https://imagecdn.99acres.com/media1/26402/0/528040071M-1739259468262.jpg"
"Ready to move Office Space for sale in Kirti Nagar, Delhi","","32000000","17777.78","1800","Office Space","Kirti Nagar, Delhi","Ready to move","https://imagecdn.99acres.com/media1/28532/10/570650097M-1739884261470.jpg"
"Factory for sale in Kirti Nagar Industrial Area, Delhi","","115000000","48218.03","2385","Factory","Kirti Nagar Industrial Area, Delhi","","https://imagecdn.99acres.com/media1/28532/10/570650039M-1739884267102.jpg"
"Shop for sale in Rajouri garden, Delhi","","30000000","125000","240","Shop","Rajouri garden, Delhi","",""
"Industrial land / Plot for sale in Mayapuri Industrial Area Phase 1, Delhi","","130000000","34890","3726","Commercial plot / Land","Mayapuri Industrial Area Phase 1, Delhi","",""
"Bare shell Office Space for sale in Netaji Subhash Place, Delhi","","12400000","22500","550","Office Space","Netaji Subhash Place, Delhi","","https://imagecdn.99acres.com/media1/30912/5/618245127M-1752306825595.jpg"
"Ready to move Office Space for sale in Netaji Subhash Place, Delhi","","8500000","21250","400","Office Space","Netaji Subhash Place, Delhi","Ready to move","https://imagecdn.99acres.com/media1/30757/2/615142191M-1751623096843.jpg"
"Showroom for sale in Connaught Place, Delhi","","9990000000","133200","75000","Showroom","Connaught Place, Delhi","",""
"Bare shell Office Space for sale in West Enclave, Delhi","","70000000","25925.93","2700","Office Space","West Enclave, Delhi","","https://imagecdn.99acres.com/media1/26727/13/534553529M-1740810187396.jpg,https://imagecdn.99acres.com/media1/26727/13/534553539M-1740810184514.jpg,https://imagecdn.99acres.com/media1/26727/13/534553593M-1740810183499.jpg,https://imagecdn.99acres.com/media1/26727/13/534553905M-1740810204444.jpg"
"Ready to move Office Space for sale in Netaji Subhash Place, Delhi","","23700000","26333.33","900","Office Space","Netaji Subhash Place, Delhi","Ready to move","https://imagecdn.99acres.com/media1/30318/11/606371053M-1749731418357.jpg"
"Ready to move Office Space for sale in Pitampura, Delhi","","9500000","23750","400","Office Space","Pitampura, Delhi","Ready to move",""
"Bare shell Office Space for sale in Okhla Industrial Area, Delhi","","16000000","12307.69","1300","Office Space","Okhla Industrial Area, Delhi","","https://imagecdn.99acres.com/media1/30422/8/608448721M-1750244428947.jpg"
"KW Blue Pearl","https://www.99acres.com/kw-blue-pearl-resale-in-karol-bagh-central-delhi-497127-cffid","3300000","","","Shop","Karol Bagh, Delhi","Ready to move","https://static.99acres.com/universalapp/img/defaultProj.png"
"The Omaxe State","https://www.99acres.com/the-omaxe-state-sector-19b-dwarka-delhi-npxid-c428729","6600000","","","Shop","Sector 19B Dwarka, Delhi","Under Construction","https://static.99acres.com/universalapp/img/defaultProj.png"
"Migsun Rohini Central","https://www.99acres.com/migsun-rohini-central-sector-22-rohini-north-delhi-npxid-c421344","4500000","","","Shop","Sector 22 Rohini, Delhi","Under Construction","https://static.99acres.com/universalapp/img/defaultProj.png"
"Omaxe Chandni Chowk","https://www.99acres.com/commercial-property-in-chandni-chowk-central-delhi-ffid","11900000","","","Shop","Chandni Chowk, Delhi","Ready to move","https://static.99acres.com/universalapp/img/defaultProj.png"
"Office Space for sale in Netaji Subhash Place, Delhi","","11000000","28947","380","Office Space","Netaji Subhash Place, Delhi","Ready to move",""
"Office Space for sale in Netaji Subhash Place, Delhi","","10600000","29120","364","Office Space","Netaji Subhash Place, Delhi","Ready to move",""
"Office Space for sale in Netaji Subhash Place, Delhi","","20100000","30000","670","Office Space","Netaji Subhash Place, Delhi","Ready to move",""
"Office Space for sale in Netaji Subhash Place, Delhi","","10900000","27455","397","Office Space","Netaji Subhash Place, Delhi","Ready to move",""
"Office Space for sale in Sector 14 Dwarka, Delhi","","46000000","48421","950","Office Space","Sector 14 Dwarka, Delhi","Ready to move",""
"Commercial plot / Land for sale in Block D Krishna Nagar, Delhi","","230000000","10968","2097","Commercial plot / Land","Block D Krishna Nagar, Delhi","",""
"Office Space for sale in Moti Nagar, Delhi","","42500000","34000","1250","Office Space","Moti Nagar, Delhi","Ready to move",""
"Office Space for sale in Moti Nagar, Delhi","","19300000","39876","484","Office Space","Moti Nagar, Delhi","Ready to move",""
"Shop for sale in Block 4 Ramesh Nagar, Delhi","","11000000","36667","300","Shop","Block 4 Ramesh Nagar, Delhi","",""
"Shop for sale in Paschim Vihar, Delhi","","40000000","18365","2178","Shop","Paschim Vihar, Delhi","",""
"Ready to move Office Space for sale in Block A Saraswati Vihar, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-block-a-saraswati-vihar-north-delhi-500-sq-ft-r1-spid-M80554699","22500000","45000","500","Office Space","Block A Saraswati Vihar, Delhi","Ready to move","https://imagecdn.99acres.com/media1/30311/5/606225901T-1749715433769.jpg"
"Factory for sale in Mayapuri Industrial Area Phase 2, Delhi","https://www.99acres.com/factory-for-sale-in-mayapuri-industrial-area-phase-2-west-delhi-2925-sq-ft-spid-N82738778","160000000","54701","2925","Factory","Mayapuri Industrial Area Phase 2, Delhi","RESALE",""
"Shop for sale in Janakpuri, West Delhi","https://www.99acres.com/shop-for-sale-in-janakpuri-west-delhi-190-sq-ft-r3-spid-F63271970","14000000","73684","190","Shop","Janakpuri, West Delhi","RESALE","https://www.99acres.com/universalapp/img/voulmeOff.png,https://static.99acres.com/universalapp/img/toapzImage.png,https://imagecdn.99acres.com/media1/29604/15/592095991M-1746175864824.jpg"
"Commercial property in Sector 23 Rohini, Delhi","https://www.99acres.com/other-commercial-property-for-sale-in-sector-23-rohini-north-delhi-3600-sq-ft-spid-M84135228","45000000","12500","3600","Commercial property","Sector 23 Rohini, Delhi","RESALE","https://imagecdn.99acres.com/media1/31310/5/626205033M-1753953304164.jpg,https://imagecdn.99acres.com/media1/31310/11/626211469T-1753953609213.jpg"
"Ready to move Office Space for sale in Sector 12 Dwarka, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-pratham-city-centre-sector-12-dwarka-delhi-416-sq-ft-r7-spid-B61390100","11000000","44000","250","Office Space","Sector 12 Dwarka, Delhi","RESALE","https://static.99acres.com/universalapp/img/toapzImage.png,https://imagecdn.99acres.com/media1/17367/10/347350008M-1736077321258.jpg"
"Showroom for sale in Paschim Vihar, Delhi","https://www.99acres.com/showroom-for-sale-in-paschim-vihar-west-delhi-2600-sq-ft-spid-E82608930","30000000","11538","2600","Showroom","Paschim Vihar, Delhi","RESALE","https://www.99acres.com/universalapp/img/voulmeOff.png,https://static.99acres.com/universalapp/img/toapzImage.png,https://imagecdn.99acres.com/media1/30002/4/600044807M-1748340062936.jpg"
"Factory for sale in Okhla Phase 2, Delhi","https://www.99acres.com/factory-for-sale-in-okhla-phase-2-south-delhi-5400-sq-ft-r4-spid-Z77483799","140000000","25926","5400","Factory","Okhla Phase 2, Delhi","RESALE","https://imagecdn.99acres.com/media1/25948/1/518961373M-1742552423101.jpg,https://imagecdn.99acres.com/media1/31403/15/628075033T-1754291356408.jpg"
